,end,Open,High,Low,Close,Volume,Turnover
2024-06-03 09:55:00,2024-06-03T09:59:59,28.78,28.78,28.78,28.78,73600,2118208
2024-06-03 10:00:00,2024-06-03T10:04:59,28.78,28.99,28.755,28.935,3918600,113230252
2024-06-03 10:05:00,2024-06-03T10:09:59,28.94,28.945,28.765,28.805,1632700,47063116
2024-06-03 10:10:00,2024-06-03T10:14:59,28.805,28.99,28.805,28.96,1484500,42941102
2024-06-03 10:15:00,2024-06-03T10:19:59,28.945,29.19,28.94,29.18,2895800,84123846
2024-06-03 10:20:00,2024-06-03T10:24:59,29.18,29.195,29.02,29.095,976900,28444624
2024-06-03 10:25:00,2024-06-03T10:29:59,29.095,29.095,28.96,29.005,1038800,30148994
2024-06-03 10:30:00,2024-06-03T10:34:59,29.005,29.135,28.965,29.03,786600,22860321
2024-06-03 10:35:00,2024-06-03T10:39:59,29.035,29.045,28.895,28.92,857600,24836730
2024-06-03 10:40:00,2024-06-03T10:44:59,28.935,28.945,28.82,28.825,618400,17853396
2024-06-03 10:45:00,2024-06-03T10:49:59,28.82,28.89,28.75,28.87,716700,20658614
2024-06-03 10:50:00,2024-06-03T10:54:59,28.86,29.075,28.81,28.96,1521300,44030988
2024-06-03 10:55:00,2024-06-03T10:59:59,28.935,29.075,28.885,29.05,632000,18306950
2024-06-03 11:00:00,2024-06-03T11:04:59,29.05,29.235,28.98,29.16,1932900,56330528
2024-06-03 11:05:00,2024-06-03T11:09:59,29.16,29.18,29.07,29.105,527900,15376449
2024-06-03 11:10:00,2024-06-03T11:14:59,29.125,29.2,29.115,29.135,462300,13487070
2024-06-03 11:15:00,2024-06-03T11:19:59,29.125,29.125,29.0,29.0,657500,19103000
2024-06-03 11:20:00,2024-06-03T11:24:59,29.0,29.085,28.935,28.96,242900,7046105
2024-06-03 11:25:00,2024-06-03T11:29:59,28.95,28.95,28.895,28.95,325200,9406939
2024-06-03 11:30:00,2024-06-03T11:34:59,28.94,28.955,28.905,28.93,114700,3320235
2024-06-03 11:35:00,2024-06-03T11:39:59,28.93,28.955,28.865,28.87,349600,10106208
2024-06-03 11:40:00,2024-06-03T11:44:59,28.87,28.895,28.775,28.78,328900,9481552
2024-06-03 11:45:00,2024-06-03T11:49:59,28.78,28.79,28.64,28.705,1091400,31329314
2024-06-03 11:50:00,2024-06-03T11:54:59,28.7,28.73,28.585,28.63,548300,15701394
2024-06-03 11:55:00,2024-06-03T11:59:59,28.61,28.725,28.61,28.715,655800,18788532
2024-06-03 12:00:00,2024-06-03T12:04:59,28.7,28.705,28.39,28.48,1864300,53164432
2024-06-03 12:05:00,2024-06-03T12:09:59,28.475,28.53,28.475,28.515,661400,18853390
2024-06-03 12:10:00,2024-06-03T12:14:59,28.51,28.51,28.305,28.37,2126800,60398485
2024-06-03 12:15:00,2024-06-03T12:19:59,28.37,28.395,28.16,28.33,2482700,70127272
2024-06-03 12:20:00,2024-06-03T12:24:59,28.345,28.555,28.32,28.495,1680800,47862080
2024-06-03 12:25:00,2024-06-03T12:29:59,28.5,28.56,28.44,28.47,593900,16931964
2024-06-03 12:30:00,2024-06-03T12:34:59,28.47,28.565,28.465,28.535,353500,10078784
2024-06-03 12:35:00,2024-06-03T12:39:59,28.535,28.55,28.43,28.445,338000,9639618
2024-06-03 12:40:00,2024-06-03T12:44:59,28.425,28.47,28.335,28.44,587700,16687615
2024-06-03 12:45:00,2024-06-03T12:49:59,28.42,28.49,28.375,28.38,341500,9705204
2024-06-03 12:50:00,2024-06-03T12:54:59,28.38,28.4,28.37,28.4,672000,19082638
2024-06-03 12:55:00,2024-06-03T12:59:59,28.4,28.4,28.385,28.4,685700,19472784
2024-06-03 13:00:00,2024-06-03T13:04:59,28.4,28.4,28.35,28.4,1025400,29115686
2024-06-03 13:05:00,2024-06-03T13:09:59,28.4,28.4,28.305,28.31,278900,7903587
2024-06-03 13:10:00,2024-06-03T13:14:59,28.305,28.33,28.2,28.26,684000,19340997
2024-06-03 13:15:00,2024-06-03T13:19:59,28.27,28.28,27.95,27.975,3043000,85432494
2024-06-03 13:20:00,2024-06-03T13:24:59,27.995,28.05,27.96,28.035,1127800,31619380
2024-06-03 13:25:00,2024-06-03T13:29:59,28.035,28.05,27.825,27.825,1350200,37669004
2024-06-03 13:30:00,2024-06-03T13:34:59,27.825,27.845,27.725,27.8,2106700,58528400
2024-06-03 13:35:00,2024-06-03T13:39:59,27.795,27.84,27.61,27.62,2195000,60820194
2024-06-03 13:40:00,2024-06-03T13:44:59,27.625,27.85,27.555,27.8,2940900,81501846
2024-06-03 13:45:00,2024-06-03T13:49:59,27.8,27.83,27.67,27.675,1895200,52605292
2024-06-03 13:50:00,2024-06-03T13:54:59,27.67,27.725,27.55,27.725,2775500,76622838
2024-06-03 13:55:00,2024-06-03T13:59:59,27.725,27.85,27.675,27.675,1691500,46964225
2024-06-03 14:00:00,2024-06-03T14:04:59,27.7,27.775,27.665,27.76,414700,11506396
2024-06-03 14:05:00,2024-06-03T14:09:59,27.755,27.77,27.665,27.68,533900,14805695
2024-06-03 14:10:00,2024-06-03T14:14:59,27.68,27.7,27.58,27.645,1707200,47170622
2024-06-03 14:15:00,2024-06-03T14:19:59,27.64,27.745,27.52,27.55,2687500,74244331
2024-06-03 14:20:00,2024-06-03T14:24:59,27.55,27.555,27.205,27.325,3549700,97198168
2024-06-03 14:25:00,2024-06-03T14:29:59,27.305,27.395,27.275,27.385,1874900,51230448
2024-06-03 14:30:00,2024-06-03T14:34:59,27.375,27.395,27.045,27.16,5790700,157333320
2024-06-03 14:35:00,2024-06-03T14:39:59,27.16,27.27,27.15,27.27,2025100,55091736
2024-06-03 14:40:00,2024-06-03T14:44:59,27.275,27.275,27.2,27.225,1712300,46634705
2024-06-03 14:45:00,2024-06-03T14:49:59,27.22,27.28,27.0,27.04,3213700,87225426
2024-06-03 14:50:00,2024-06-03T14:54:59,27.035,27.135,26.82,26.895,3853200,103886440
2024-06-03 14:55:00,2024-06-03T14:59:59,26.875,26.95,26.8,26.95,3572500,96038292
2024-06-03 15:00:00,2024-06-03T15:04:59,26.95,26.95,26.7,26.77,3451900,92416892
2024-06-03 15:05:00,2024-06-03T15:09:59,26.77,27.3,26.745,27.22,8413900,227148845
2024-06-03 15:10:00,2024-06-03T15:14:59,27.22,27.55,27.21,27.35,4386700,120208576
2024-06-03 15:15:00,2024-06-03T15:19:59,27.375,27.6,27.365,27.545,1564600,43049244
2024-06-03 15:20:00,2024-06-03T15:24:59,27.56,27.57,27.375,27.52,1966300,54011106
2024-06-03 15:25:00,2024-06-03T15:29:59,27.535,27.725,27.5,27.715,1915400,52875156
2024-06-03 15:30:00,2024-06-03T15:34:59,27.72,27.725,27.645,27.665,1893300,52410416
2024-06-03 15:35:00,2024-06-03T15:39:59,27.67,27.72,27.5,27.515,1073700,29678614
2024-06-03 15:40:00,2024-06-03T15:44:59,27.53,27.75,27.53,27.71,639200,17698797
2024-06-03 15:45:00,2024-06-03T15:49:59,27.7,27.705,27.59,27.59,324200,8958496
2024-06-03 15:50:00,2024-06-03T15:54:59,27.59,27.62,27.565,27.62,644400,17789067
2024-06-03 15:55:00,2024-06-03T15:59:59,27.62,27.67,27.56,27.585,661100,18256096
2024-06-03 16:00:00,2024-06-03T16:04:59,27.585,27.595,27.4,27.4,1019600,28013582
2024-06-03 16:05:00,2024-06-03T16:09:59,27.405,27.54,27.335,27.52,665800,18277756
2024-06-03 16:10:00,2024-06-03T16:14:59,27.54,27.555,27.445,27.485,320800,8830318
2024-06-03 16:15:00,2024-06-03T16:19:59,27.485,27.69,27.48,27.67,1063100,29290394
2024-06-03 16:20:00,2024-06-03T16:24:59,27.675,27.7,27.545,27.67,1088500,30059220
2024-06-03 16:25:00,2024-06-03T16:29:59,27.675,27.88,27.67,27.81,1279200,35503870
2024-06-03 16:30:00,2024-06-03T16:34:59,27.815,27.865,27.72,27.83,776900,21601822
2024-06-03 16:35:00,2024-06-03T16:39:59,27.825,27.84,27.72,27.83,452900,12584392
2024-06-03 16:40:00,2024-06-03T16:44:59,27.835,27.84,27.77,27.815,641600,17835734
2024-06-03 16:45:00,2024-06-03T16:49:59,27.81,27.825,27.695,27.715,490900,13624014
2024-06-03 16:50:00,2024-06-03T16:54:59,27.715,27.715,27.55,27.625,807400,22317134
